"","formula","aics","bics","acc"
"266",266,923.65939710676,970.505514383439,0.57875
"647",647,923.741041183708,975.271770188056,0.695
"144",144,923.820156155656,965.981661704667,0.65375
"753",753,923.961844909096,975.492573913443,0.6025
"651",651,923.993972733224,966.155478282236,0.58
"682",682,924.108074389748,975.638803394096,0.60125
"467",467,924.491131813083,976.021860817431,0.55625
"977",977,924.689487398335,971.535604675014,0.675
"212",212,924.71631365407,966.877819203081,0.66875
"304",304,924.797092107034,976.327821111381,0.6825
"614",614,924.874114871686,967.035620420698,0.625
"473",473,925.15044309178,976.681172096128,0.70375
"452",452,925.250971897564,972.097089174243,0.57875
"22",22,925.290693046105,967.452198595117,0.69125
"459",459,925.304408327557,972.150525604236,0.6725
"568",568,925.313888647109,976.844617651456,0.67125
"542",542,925.365314410087,972.211431686766,0.57375
"577",577,925.36816427345,967.529669822461,0.53125
"411",411,925.392973964414,967.554479513426,0.585
"426",426,925.710724300184,972.556841576863,0.62875
"214",214,925.914558305524,972.760675582203,0.6575
"739",739,925.936899149152,977.4676281535,0.69625
"412",412,926.016605590652,968.178111139663,0.58125
"529",529,926.018403446964,968.179908995975,0.6575
"699",699,926.040289009435,977.571018013782,0.60625
"818",818,926.301537459637,973.147654736317,0.625
"232",232,926.50024441893,978.030973423277,0.64875
"781",781,926.520655601994,973.366772878673,0.62375
"259",259,926.532188143277,973.378305419956,0.63625
"582",582,926.774659976597,973.620777253276,0.63875
"230",230,926.839342595431,978.370071599778,0.62625
"512",512,926.979187819013,978.50991682336,0.6025
"138",138,927.076513847032,978.60724285138,0.57125
"98",98,927.101238033132,978.631967037479,0.54125
"540",540,927.145539745518,978.676268749865,0.625
"765",765,927.333855588916,974.179972865595,0.60125
"287",287,927.337450281392,974.183567558071,0.66125
"71",71,927.337478181019,978.868207185366,0.64875
"942",942,927.339355756666,974.185473033345,0.55375
"635",635,927.371202922069,978.901931926416,0.60375
"750",750,927.463363146774,969.624868695785,0.64375
"79",79,927.496864475744,969.658370024756,0.6625
"531",531,927.50935431893,974.355471595609,0.65375
"958",958,927.517909566256,969.679415115267,0.56
"569",569,927.551201430491,974.397318707171,0.60125
